Date,NIFTY50_Index,Log_Return_pct,Realized_Vol,GARCH_Forecast_Vol,GARCHX_Forecast_Vol,Sentiment_Raw,Sentiment_Rolled,Sentiment_Lagged,Has_Real_News,Sentiment_Label,Position_Size,Strategy_Return,Benchmark_Return,Strategy_Value,Benchmark_Value,High_Vol_Flag,Risk_Regime
2022-03-22,1855.3279723,0.008891743310637119,1.5112782016629627,2.3894113048998986,2.4116812242554317,0.04624026951690515,-0.002231745578316403,-0.07810029032361974,1,Neutral,0.0,0.0,0.008891743310637119,94962.03297219201,99531.72374592986,1,High Risk
2022-03-23,1852.084227,-0.001749870774186326,1.4667124960877633,1.9124192459587406,1.9124192459587406,0.08269674130357228,0.05065829624427165,-0.002231745578316403,1,Neutral,1.0,-0.0,-0.001749870774186326,94962.03297219201,99357.55609144247,0,Low Risk
2022-03-24,1842.1034759000001,-0.005403502034748248,1.341668606969848,1.8457647993510722,2.226724049399491,-0.7269544753556451,-0.06517062942282514,0.05065829624427165,1,Neutral,0.0,-0.005403502034748248,-0.005403502034748248,94448.90543380294,98820.67733493475,1,High Risk
2022-03-25,1837.14649815,-0.0026945604589001053,0.7990717553688212,1.960203282470238,1.960203282470238,-0.5330493436194956,-0.14740432427049832,-0.06517062942282514,1,Negative,0.7,-0.0,-0.0026945604589001053,94448.90543380294,98554.3990452663,0,Low Risk
2022-03-28,1840.5422332500002,0.0018466685535480872,0.551894988778702,1.8687556585018026,2.161975803214684,-0.11535212711284035,-0.24365493029494678,-0.23967423766859386,1,Negative,0.0,0.001292667987483661,0.0018466685535480872,94570.99651031008,98736.39635479703,1,High Risk
2022-03-29,1854.8560287999996,0.007746860349217104,0.5072761174487419,1.7987081551360942,2.120711598154182,0.3384824422675939,-0.19494790150316532,-0.24365493029494678,1,Negative,0.0,0.0,0.007746860349217104,94570.99651031008,99501.29342874257,1,High Risk
2022-03-30,1875.4919975999996,0.011063943181197642,0.6905534106582639,1.875615933801684,2.0769950510579847,0.5352476127445698,-0.11952275626299909,-0.19494790150316532,1,Negative,0.0,0.0,0.011063943181197642,94570.99651031008,100602.17008569386,1,High Risk
2022-03-31,1867.56223905,-0.004237058782483908,0.6583471437540208,1.9954830879725347,2.0686994896181177,-0.2429400458931923,-0.038853684685923616,-0.11952275626299909,1,Neutral,0.0,-0.0,-0.004237058782483908,94570.99651031008,100175.91277739532,1,High Risk
2022-04-01,1887.91851585,0.010840942874812192,0.6570336181676902,1.9157477041124082,2.0293319806700274,0.043568805706771935,0.057249340201787645,-0.038853684685923616,1,Neutral,0.3,0.0,0.010840942874812192,94570.99651031008,101261.91412524723,1,High Risk
2022-04-04,1916.7642449,0.015163567413689216,0.7391180789928283,1.9855108999131985,2.0252162880374875,-0.005291152000427246,0.11781784840261435,0.09947435255054549,1,Positive,0.3,0.004549070224106765,0.015163567413689216,95001.20661459923,102797.40598652462,1,High Risk
